obsDate;name;openValue;closeValue;higherValue;lowerValue;volume;marketType;currency
27/10/2021;Facebook;314,190;312,220;319,250;312,060;29971760,000;1;1
27/10/2021;Google;2788,100;2924,350;2973,000;2788,100;4289070,000;1;1
27/10/2021;Microsoft;316,000;323,170;326,097;316,000;52588690,000;1;1
27/10/2021;Tesla;1039,660;1037,860;1070,880;1030,780;38526460,000;1;1
26/10/2021;Apple;149,330;149,320;150,840;149,010;60893400,000;1;1
26/10/2021;Facebook;328,260;315,810;330,210;309,600;65654040,000;1;1
26/10/2021;Google;2785,270;2786,170;2801,659;2766,090;2461751,000;1;1
26/10/2021;Microsoft;311,000;310,110;312,395;308,597;28107350,000;1;1
26/10/2021;Tesla;1024,690;1018,430;1094,940;1001,440;62414970,000;1;1
25/10/2021;Apple;148,680;148,640;149,370;147,621;50720560,000;1;1
25/10/2021;Facebook;320,300;328,690;329,560;319,720;38408960,000;1;1
25/10/2021;Google;2751,000;2748,940;2760,000;2708,480;1720613,000;1;1
25/10/2021;Microsoft;309,360;308,130;309,400;306,460;17554470,000;1;1
25/10/2021;Tesla;950,530;1024,860;1045,020;944,200;62852100,000;1;1
22/10/2021;Apple;149,690;148,690;150,180;148,640;58883440,000;1;1
22/10/2021;Facebook;326,345;324,610;329,630;321,110;35224540,000;1;1
22/10/2021;Google;2783,000;2751,330;2811,655;2721,120;2529448,000;1;1
22/10/2021;Microsoft;310,400;309,160;311,090;307,800;17449330,000;1;1
22/10/2021;Tesla;895,500;909,680;910,000;890,960;22880840,000;1;1
21/10/2021;Apple;148,810;149,480;149,640;147,870;61420990,000;1;1
21/10/2021;Facebook;340,275;341,880;342,310;337,800;16354420,000;1;1
21/10/2021;Google;2835,380;2837,720;2843,120;2810,000;1314613,000;1;1
21/10/2021;Microsoft;307,170;310,760;311,020;306,360;16918100,000;1;1
21/10/2021;Tesla;856,000;894,000;900,000;855,505;31481450,000;1;1
20/10/2021;Apple;148,700;149,260;149,754;148,120;58418790,000;1;1
20/10/2021;Facebook;343,445;340,780;343,980;339,453;13639470,000;1;1
20/10/2021;Google;2866,760;2835,380;2870,922;2827,530;1164403,000;1;1
20/10/2021;Microsoft;309,210;307,410;309,700;306,110;16537070,000;1;1
20/10/2021;Tesla;865,350;865,800;869,490;857,380;14032050,000;1;1
19/10/2021;Apple;147,010;148,760;149,170;146,550;76378890,000;1;1
19/10/2021;Facebook;339,645;339,990;342,460;337,280;18786320,000;1;1
19/10/2021;Google;2867,750;2864,740;2873,250;2852,000;1008150,000;1;1
19/10/2021;Microsoft;308,348;308,230;309,300;307,220;17682140,000;1;1
19/10/2021;Tesla;877,530;864,270;877,950;862,510;17381130,000;1;1
18/10/2021;Apple;143,445;146,550;146,840;143,160;85589180,000;1;1
18/10/2021;Facebook;328,950;335,340;335,890;327,500;21585020,000;1;1
18/10/2021;Google;2821,530;2855,560;2855,920;2821,389;1019808,000;1;1
18/10/2021;Microsoft;303,570;307,290;308,210;302,690;22729300,000;1;1
18/10/2021;Tesla;851,790;870,110;875,260;851,470;24207240,000;1;1
15/10/2021;Apple;143,770;144,840;144,895;143,510;67940330,000;1;1
15/10/2021;Facebook;328,680;324,760;329,070;322,510;21596370,000;1;1
15/10/2021;Google;2832,290;2827,360;2834,360;2815,100;1513722,000;1;1
15/10/2021;Microsoft;302,340;304,210;304,450;300,519;25384800,000;1;1
15/10/2021;Tesla;823,738;843,030;843,210;822,350;18924570,000;1;1
14/10/2021;Apple;142,110;143,760;143,880;141,510;69907100,000;1;1
14/10/2021;Facebook;328,355;328,530;330,520;327,100;14302150,000;1;1
14/10/2021;Google;2789,476;2823,020;2826,745;2776,500;1596397,000;1;1
